Recommendation code;Recommendations ;Applicable MS or (sub)region;Applicable descriptors;URL Commission report;comments
Art13/2016/DK/Rec25;The Member State should consider establishing additional measures (including MPAs in open sea areas to protect non-commercial fish species) to directly address pressures on fish such as NIS introduction, contaminants and marine litter. If these are to be addressed via measures reported for other descriptors, the expected effect that such measures are to have on fish and cephalopods should be explained.;DK;D1, 4 – Fish and cephalopods;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/DK/Rec26;The Member State should provide better information on existing MPAs and the level of protection they provide for fish (commercial and non-commercial), in relation to where fish species occur within Member States' territorial waters, and how they are protected.;DK;D1, 4 – Fish and cephalopods;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/DK/Rec27;The Member State should consider establishing additional measures to further address relevant pressures on mammals such as incidental by-catch from fishing activities and impacts on mammals due to shipping (collision). ;DK;D1, 4 – Water column habitats;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/DK/Rec28;The Member State should consider establishing additional measures, also beyond spatial protection measures, covering shipping, marine-based renewable energy generation and fisheries.;DK;D1, 4, 6 – Seabed habitats;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/DK/Rec29;The Member State should provide more details on measures related to protected areas (and MPAs) such as their area of coverage or temporal ranges of restrictions. The Member State should provide timescales and estimates of how spatial restrictions of seabed damaging activities will allow for GES to be achieved.;DK;D1, 4, 6 – Seabed habitats;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/DK/Rec30;If seabed habitats are to be addressed via measures reported for other descriptors (e.g. D2, D10), the expected effect that such measures are to have on seabed habitats should be explained.;DK;D1, 4, 6 – Seabed habitats;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/EE/Rec01;In general, the Member State should better address certain pressures and activities. These are specified in the descriptor specific recommendations below. ;EE;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/EE/Rec02;The Member State should consider whether it is feasible to reduce the current levels of certain pressures in the marine environment, given that the majority of direct measures focus on preventing ongoing and future inputs of pressures. It is observed that most measures aim to address ongoing and new inputs of pressures, whilst very few seek to remove or reduce what is already present in the marine environment due to past activities (e.g. marine litter, NIS, contaminants).;EE;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/EE/Rec03;GES and targets definitions should be better addressed for NIS (D2), hydrographical changes (D7), contaminants (D8), marine litter (D10), underwater noise (D11), birds, fish and water column habitats (D1, 4) and seabed habitats (D1, 4, 6).;EE;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/EE/Rec04;If GES is not expected to be achieved by 2020 (e.g. for D5, D8 and mammals (D1, 4)), then the Member State should estimate the alternative dates by when GES will be achieved.;EE;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/EE/Rec05;The Member State should define GES for hydrographical changes (D7), marine litter (D10) and underwater noise (D11).;EE;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/EE/Rec06;The Member State should establish more links with existing EU policies and international agreements (e.g. for D9 and D11). This would improve the overall coherence and coverage of the PoM. ;EE;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/EE/Rec07;The Member State should define the spatial scope of measures in detail. Furthermore, the spatial scope of measures should be expanded to cover marine waters beyond coastal waters, where relevant pressures are present. The Member State should consider establishing additional measures beyond spatial protection efforts to address species and habitats. It is important that pressures are addressed across its broader territory.;EE;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/EE/Rec08;The Member State should quantify pressures and their expected reduction as a result of the established measures. This could be facilitated by further efforts to address knowledge gaps and define the methodology for such estimations at regional or EU level. Such quantification will also contribute to linking the measures with the achievement of GES.;EE;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/EE/Rec09;The Member State should make better links between the measures reported for pressure descriptors and their effects on the state descriptors. This would allow a comprehensive view of the impact of measures affecting all descriptors.;EE;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/EE/Rec10;The Member State should ensure better linkages between its PoM and Monitoring Programmes, in order to ensure that the effects of the measures, and hence their efficiency and effectiveness in meeting targets and GES, are measured through the Monitoring Programmes.;EE;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/EE/Rec11;The Member State should report data collection efforts under the MSFD Monitoring Programmes (Article 11) and not under the Programme of Measures (Article 13). However, when knowledge is too scarce to design effective measures, it is useful to indicate actions taken to address these gaps via research measures.;EE;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/EE/Rec12;The Member State should provide more information about its measures and its spatial protection measures (representation of species and habitats within the MPAs, the size, number and location of MPAs and the conservation objectives of the MPAs) and establish additional ones that have direct effects on the pressures;EE;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/EE/Rec13;The Member State should address the introduction of NIS in its marine waters from shipping better, by including measures targeting bio-fouling besides ballast water management.;EE;D2;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/EE/Rec14;The Member State should consider developing NIS early detection systems and registries as part of the measures (or, if this is already the case, provide more details).;EE;D2;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/EE/Rec15;The Member State should clearly cover recreational fishing.;EE;D3;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/EE/Rec16;The Member State should address the extraction of species from seaweed and other sea-based food harvesting.;EE;D3;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/EE/Rec17;The Member State should establish measures to tackle hydrographical changes from industry, port operations and submarine cable and pipeline operations related activities.;EE;D7;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/EE/Rec18;The Member State should address cumulative impacts on habitats by multiple stressors.;EE;D7;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/EE/Rec19;The Member States should utilise synergies with the EIA, SEA and WFD.;EE;D7;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/EE/Rec20;The Member State should better address pressures from activities not subject to local/project scale EIAs (e.g. fishing, maritime transport). In some cases (e.g. hydrological changes where local dimension is important) this gap hampers the assessment of cumulative effects.;EE;D7;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/EE/Rec21;The Member State should better explain the manner in which the D8 measures contribute to D9 GES and targets.;EE;D8/D9;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/EE/Rec22;The Member State should clearly cover the biological effect of contaminants.;EE;D8/D9;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/EE/Rec23;The Member State should strive to define GES for marine litter (D10) as mentioned above, and clearly explain how the measures will contribute to achieve it.;EE;D10;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/EE/Rec24;The Member State should address micro-litter, preferably through direct measures, in addition to indirect measures.;EE;D10;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/EE/Rec25;The Member State should make efforts to identify pollution hot spots (e.g. from plastic pellets, lost fishing gear, etc.).;EE;D10;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/EL/Rec01;In general, the Member State should better address certain pressures and activities. These are specified in the descriptor specific recommendations below. ;EL;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/EL/Rec02;The Member State should consider whether it is feasible to reduce the current levels of certain pressures in the marine environment (e.g. NIS, contaminants), given that the majority of direct measures focuses on preventing ongoing and future inputs of pressures.;EL;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
Art13/2016/EL/Rec03;GES and targets definitions should be better addressed for contaminants (D8), fish and cephalopods (D1, 4), mammals and reptiles, water column habitats (D1, 4) and seabed habitats (D1, 4, 6).;EL;General;https://eur-lex.europa.eu/legal-content/PL/TXT/?uri=CELEX:52018SC0393;
